FASTA ID,Accession ID,Sample ID,Year,Country,Clade Designation,Native/Invasive,Latitude,Longitude,County/State,City/Town,Haplotype,Urban/Rural Habitat,Breeding habitat,Type of Collection
Kassala22_Sudan,OK216627,Kassala22,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala23_Sudan,OK216626,Kassala23,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala24_Sudan,OK216625,Kassala24,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala25_Sudan,OK216624,Kassala25,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala26_Sudan,OK216623,Kassala26,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala27_Sudan,OK216622,Kassala27,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala28_Sudan,OK216621,Kassala28,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala29_Sudan,OK216620,Kassala29,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala3_Sudan,OK216619,Kassala3,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala30_Sudan,OK216618,Kassala30,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala31_Sudan,OK216617,Kassala31,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala32_Sudan,OK216616,Kassala32,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
Kassala33_Sudan,OK216615,Kassala33,2021,Sudan,NA,Invasive,NA,NA,Kassala,NA,NA,NA,NA,NA
