FASTA ID,Accession ID,Sample ID,Year,Country,Clade Designation,Native/Invasive,Latitude,Longitude,County/State,City/Town,Haplotype,Urban/Rural Habitat,Breeding habitat,Type of Collection
Y017_Somalia,NA,Y017,2020,Somalia,Major,Invasive,9.5597,44.0595,Marodijeh,Hargeisa,Hap3,Urban,Artificial,Immature
Y018_Somalia,NA,Y018,2020,Somalia,Major,Invasive,9.5597,44.0595,Marodijeh,Hargeisa,Hap3,Urban,Artificial,Immature
Y019_Somalia,NA,Y019,2020,Somalia,Major,Invasive,11.4582,43.26313,Salal,Lawyacado,Hap2,Urban,Artificial,Immature
Y020_Somalia,NA,Y020,2020,Somalia,Major,Invasive,9.5597,44.0595,Marodijeh,Hargeisa,Hap3,Urban,Artificial,Immature
Y024_Somalia,NA,Y024,2020,Somalia,Major,Invasive,11.4582,43.26313,Salal,Lawyacado,Hap3,Urban,Artificial,Immature
Y025_Somalia,NA,Y025,2020,Somalia,Major,Invasive,11.4582,43.26313,Salal,Lawyacado,Hap2,Urban,Artificial,Immature
Y032_Somalia,NA,Y032,2020,Somalia,Major,Invasive,11.4582,43.26313,Salal,Lawyacado,Hap2,Urban,Artificial,Immature
Y033_Somalia,NA,Y033,2020,Somalia,Major,Invasive,11.4582,43.26313,Salal,Lawyacado,Hap4,Urban,Artificial,Immature
Y035_Somalia,NA,Y035,2020,Somalia,Major,Invasive,11.4582,43.26313,Salal,Lawyacado,Hap4,Urban,Artificial,Immature
Y036_Somalia,NA,Y036,2020,Somalia,Major,Invasive,11.4582,43.26313,Salal,Lawyacado,Hap3,Urban,Artificial,Immature
Y037_Somalia,NA,Y037,2020,Somalia,Major,Invasive,9.5597,44.0595,Marodijeh,Hargeisa,Hap3,Urban,Artificial,Immature
Y038_Somalia,NA,Y038,2020,Somalia,Major,Invasive,9.5597,44.0595,Marodijeh,Hargeisa,Hap3,Urban,Artificial,Immature
Y039_Somalia,NA,Y039,2020,Somalia,Major,Invasive,10.438,45.016,Sahil,Berbera,Hap2,Urban,Artificial,Immature
Y041_Somalia,NA,Y041,2020,Somalia,Major,Invasive,10.438,45.016,Sahil,Berbera,Hap2,Urban,Artificial,Immature
Y042_Somalia,NA,Y042,2020,Somalia,Major,Invasive,10.438,45.016,Sahil,Berbera,Hap2,Urban,Artificial,Immature
Y043_Somalia,NA,Y043,2020,Somalia,Major,Invasive,10.438,45.016,Sahil,Berbera,Hap2,Urban,Artificial,Immature
Y045_Somalia,NA,Y045,2020,Somalia,Major,Invasive,9.5597,44.0595,Marodijeh,Hargeisa,Hap3,Urban,Artificial,Immature
Y046_Somalia,ON421573,Y046,2020,Somalia,Major,Invasive,10.438,45.016,Sahil,Berbera,Hap3,Urban,Artificial,Immature
som1_Somalia,NA,som1,2024,Somalia,Major,Invasive,2.039124,45.344621,Bonaadir,Mogadishu,Hap3,Urban,Artificial,Immature
som2_Somalia,NA,som2,2024,Somalia,Major,Invasive,2.039124,45.344621,Bonaadir,Mogadishu,Hap3,Urban,Artificial,Immature
